Appliance,configiso,done,Deploy Time
i97-eng142,20:07:06,21:08:19,1:1:13
i25-eng142,20:10:52,21:20:06,1:9:14
i63-eng142,20:08:44,21:09:58,1:1:14
i57-eng142,20:09:14,21:20:29,1:11:15
i59-eng142,20:09:07,21:10:20,1:1:13
i47-eng142,20:09:37,21:28:52,1:19:15
i67-eng142,20:08:29,21:11:43,1:3:14
i73-eng142,20:08:14,21:15:28,1:7:14
i87-eng142,20:07:36,21:08:50,1:1:14
i29-eng142,20:10:38,21:19:52,1:9:14
i15-eng142,20:11:44,21:20:59,1:9:15
i55-eng142,20:09:22,21:24:37,1:15:15
i13-eng142,20:12:00,21:29:15,1:17:15
i11-eng142,20:12:30,21:17:44,1:5:14
i5-eng142,20:08:58,21:14:13,1:5:15
i71-eng142,20:08:21,21:13:35,1:5:14
i215-eng142,20:11:14,21:20:28,1:9:14
i129-eng142,20:12:14,21:11:28,0:59:14
i23-eng142,20:10:59,21:10:13,0:59:14
i61-eng142,20:08:52,21:12:06,1:3:14
i95-eng142,20:07:14,21:10:28,1:3:14
i83-eng142,20:07:44,21:10:58,1:3:14
i39-eng142,20:10:07,21:13:21,1:3:14
i89-eng142,20:07:29,21:28:44,1:21:15
i17-eng142,20:11:37,21:22:52,1:11:15
i9-eng142,20:06:51,21:16:05,1:9:14
i217-eng142,20:11:08,21:22:22,1:11:14
i105-eng142,20:12:45,21:16:00,1:3:15
i99-eng142,20:06:58,21:12:12,1:5:14
i121-eng142,20:12:22,21:13:36,1:1:14
i93-eng142,20:07:22,21:20:37,1:13:15
i33-eng142,20:10:21,21:15:35,1:5:14
i65-eng142,20:08:37,21:11:50,1:3:13
i53-eng142,20:09:29,21:14:43,1:5:14
i41-eng142,20:10:00,21:13:13,1:3:13
i7-eng142,20:07:52,21:11:06,1:3:14
i31-eng142,20:10:30,21:13:43,1:3:13
i45-eng142,20:09:44,21:18:58,1:9:14
i27-eng142,20:10:44,21:11:59,1:1:15
i75-eng142,20:08:06,21:13:20,1:5:14
i19-eng142,20:11:30,21:20:45,1:9:15
i135-eng142,20:12:07,21:21:22,1:9:15
i37-eng142,20:10:15,21:37:30,1:27:15
i79-eng142,20:08:00,21:13:13,1:5:13
i111-eng142,20:12:38,21:19:51,1:7:13
i201-eng142,20:11:22,21:20:36,1:9:14
i43-eng142,20:09:52,21:15:06,1:5:14
i147-eng142,20:11:52,21:27:07,1:15:15
